Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name,country
3 Killed by Boko Haram,2/12/2013,Gambouru,Maiduguri,Borno,3,Boko Haram,,,,,,,,,,,,,,,,,,3,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/815,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Assemblyman Killed,2/12/2013,Damboa,Damboa,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/815,,,,,"Damboa, Borno, Nigeria",Nigeria
Gunmen kill 3 in Jos,2/12/2013,Jos,,Plateau,3,,,,Other Armed Actor,,,,,,,,,,,,,,,3,,,,Gun,,,,,,,,,,,Other,,http://premiumtimesng.com/news/119959-gunmen-kill-three-security-guards-in-jos.html?utm_source=rss&utm_medium=rss&utm_campaign=gunmen-kill-three-security-guards-in-jos,,,,,", Plateau, Nigeria",Nigeria
Officer Killed,2/12/2013,Bama,Bama,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/815,,,,,"Bama, Borno, Nigeria",Nigeria
Boko Haram Die in Custody,2/12/2013,,,Borno,45,,State Actor,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,http://blueprintng.com/new/2013/10/16/amnesty-internationals-reportjtf-kills-1000-boko-haram-detainees/,,,,,", Borno, Nigeria",Nigeria
National Secretary Killed,2/14/2013,Layin Rugga,Kawo,Kaduna,1,,,,Other Armed Actor,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://blueprintng.com/new/2013/02/15/gunmen-kill-miyetti-allah-scribe-in-kaduna/,,,,,"Kawo, Kaduna, Nigeria",Nigeria
Bodies in River Thought Murdered by State Police,2/15/2013,Awka,,Anambra,10,,,Sectarian Actor,,,,,,,,,,,,,,,,10,,,,,,,Other,,,,,,,,Other,,http://saharareporters.com/news-page/ezu-river-tales-missing-persons-senators-probe-possible-police-killings-gov-obi-ordered-bu,,,,,", Anambra, Nigeria",Nigeria
Bomb Kills 2,2/15/2013,Maiduguri,Maiduguri,Borno,2,,,,2,,,,,,,,,2,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://www.naharnet.com/stories/en/72134-bomb-blast-kills-2-houses-and-shops-burnt-in-nigeria,http://www.naijahidi.org/reports/view/817,http://premiumtimesng.com/news/120543-two-die-soldier-wounded-houses-burnt-in-maiduguri-explosion.html?utm_source=rss&utm_medium=rss&utm_campaign=two-die-soldier-wounded-houses-burnt-in-maiduguri-explosion,,,"Maiduguri, Borno, Nigeria",Nigeria
Soldier Kills One,2/17/2013,Jos,,Plateau,1,,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://premiumtimesng.com/regional/120725-soldier-kills-taxi-passenger-injures-driver-in-jos.html?utm_source=rss&utm_medium=rss&utm_campaign=soldier-kills-taxi-passenger-injures-driver-in-jos,http://allafrica.com/stories/201302250978.html,,,,", Plateau, Nigeria",Nigeria
"Ansaru Kidnaps 8 expats, kills one",2/18/2013,Jama'are,,Bauchi,1,,,Sectarian Actor,,Kidnapper,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://edition.cnn.com/2013/02/18/world/africa/nigeria-kidnappings/,http://edition.cnn.com/2013/02/18/world/africa/nigeria-kidnappings/,http://www.vanguardngr.com/2013/02/gunmen-kill-guard-abduct-8-expatriates-in-bauchi/,,,", Bauchi, Nigeria",Nigeria
Kidnappers Kill Two Policemen,2/18/2013,Okpai,Kwale,Delta,2,,,,,Kidnapper,,,,,,2,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/824,,,,,"Kwale, Delta, Nigeria",Nigeria
Thugs Kill 6,2/18/2013,Tor Donga,Katsina,Benue,6,,,Sectarian Actor,,,,,,,,,,,6,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/821,,,,,"Katsina, Benue, Nigeria",Nigeria
Vigilance officer and police informants Killed,2/18/2013,Lassa,Askira/Uba,Borno,2,Boko Haram,,,,,,,,,,,,,,,,,,2,,,,Gun,,,,,,,,,,,Other,,http://www.ngrguardiannews.com/index.php?option=com_content&view=article&id=113964:gunmen-torch-police-station-kill-inspector-two-others&catid=1:national&Itemid=559,,,,,"Askira/Uba, Borno, Nigeria",Nigeria
Gunmen Torch Police Station,2/19/2013,Konduga,Konduga,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://www.ngrguardiannews.com/index.php?option=com_content&view=article&id=113964:gunmen-torch-police-station-kill-inspector-two-others&catid=1:national&Itemid=559,,,,,"Konduga, Borno, Nigeria",Nigeria
Boko Haram Die in Custody,2/19/2013,,,Borno,45,,State Actor,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,http://blueprintng.com/new/2013/10/16/amnesty-internationals-reportjtf-kills-1000-boko-haram-detainees/,,,,,", Borno, Nigeria",Nigeria
"Suicide blast, gunfire Maiduguri",2/20/2013,Maidiguri,Maiduguri,Borno,3,Boko Haram,,,,,,,,,,0,,,,,,,,3,,,,Gun,,Suicide Bombing,,,,,,,,,Other,,http://www.vanguardngr.com/2013/02/suicide-blast-gunfire-rock-restive-maiduguri/,https://www.evernote.com/pub/aschlfod/febnst#b=39c78257-dd8b-455c-9f3c-7153b619a0e7&st=p&n=c5d9a1d1-1b11-42e2-b34f-c689ad600258,,,,"Maiduguri, Borno, Nigeria",Nigeria
Suicide Bomber Kills 3,2/20/2013,Maiduguri,Maiduguri,Borno,3,Boko Haram,,,,,,,,,1,,,,,,,,,2,,,,,,Suicide Bombing,,,,,,,,,Other,,http://news.xinhuanet.com/english/world/2013-02/21/c_132181523.htm,http://www.naijahidi.org/reports/view/822,http://www.news24.com/Africa/News/Blast-kills-2-in-Northeast-Nigeria-20130220,,,"Maiduguri, Borno, Nigeria",Nigeria
Bomb and Gunmen Kill 3 more in Borno,2/21/2013,Maiduguri,Maiduguri,Borno,3,Boko Haram,,,,,,,,,,0,,,,,,,,3,,,Bomb,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/827,http://abcnews.go.com/International/wireStory/suicide-bombings-nigeria-north-kill-18558783,,,,"Maiduguri, Borno, Nigeria",Nigeria
"Nigeria gun, machete attack kills 10",2/21/2013,Kogom,,Plateau,10,,,Sectarian Actor,,,,,,,,,10,,,,,,,,,,,Gun,Machete,,,,,,,,,,Other,,http://www.theaustralian.com.au/news/breaking-news/nigeria-gun-machete-attack-kills-10/story-fn3dxix6-1226583947517,,,,,", Plateau, Nigeria",Nigeria
10 Killed in Plateau,2/23/2013,Jos,Jos South,Plateau,10,,,Sectarian Actor,,,,,,,,,10,,,,,,,,,,,,Machete,,,,,,,,,,Other,,http://allafrica.com/stories/201302251292.html,http://allafrica.com/stories/201302251268.html,http://www.naijahidi.org/reports/view/828,,,"Jos South, Plateau, Nigeria",Nigeria
5 Killed in Sectarian Violence in Kaduna,2/23/2013,Aduwan Gida,Zango-Kataf,Kaduna,5,,,Sectarian Actor,,,,,,,,,5,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.punchng.com/news/bomb-scare-paralyses-kaduna-yero-visits-zango-kataf/,,,,,"Zango-Kataf, Kaduna, Nigeria",Nigeria
6 killed by gunmen in Nigeria's Yobe State,2/23/2013,Ngalda,,Yobe,6,Boko Haram,,,,,,,,,,,,,,,,,,6,,,,Gun,,,,,,,,,,,Other,,http://news.xinhuanet.com/english/world/2013-02/25/c_132189238.htm,,,,,", Yobe, Nigeria",Nigeria
6 killed in Northern Nigeria,2/23/2013,Ngalda,,Yobe,6,Boko Haram,,,,,,,,,,,,,,,,,,6,,,,Gun,,,,,,,,,,,Other,,http://abcnews.go.com/International/wireStory/killed-attack-northern-nigeria-18580722,,,,,", Yobe, Nigeria",Nigeria
Boko Haram Attempt to Bomb Police Stateion,2/23/2013,Maiduguri,Maiduguri,Borno,17,Boko Haram,State Actor,,,,,,,,17,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201302251292.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Factory workers slain,2/23/2013,Shekar-Maidaki,Kumbotso,Kano,13,,,,Other Armed Actor,,,,,,,,,,,,,,,13,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/news-page/police-say-eight-persons-not-13-killed-kanoon-february-23,,,,,"Kumbotso, Kano, Nigeria",Nigeria
Five shot in Nigeria,2/23/2013,Gombe,,Gombe,5,,,,Other Armed Actor,,,,,,,,,,,,,,,5,,,,Gun,,,,,Drinking Establishment,,,,,,,,http://zeenews.india.com/news/world/five-persons-shot-dead-in-nigeria_831209.html,,,,,", Gombe, Nigeria",Nigeria
Gunmen Kill 5 in Gombe,2/23/2013,Gombe,Bagadaza,Gombe,5,,,,Other Armed Actor,,,,,,,,,,,,,,,5,,,,Gun,,,,,Drinking Establishment,,,,,,,,http://allafrica.com/stories/201302251338.html,http://allafrica.com/stories/201302251347.html,,,,"Bagadaza, Gombe, Nigeria",Nigeria
"Gunmen kill 5, injure 7",2/23/2013,Bagadaza,Gombe,Gombe,5,Boko Haram,,,,,,,,,,,,,,,,,,7,,,,Gun,,,,,,,,,,,Other,,http://www.presstv.ir/detail/2013/02/24/290634/gunmen-kill-5-injure-7-others-in-nigeria/,,,,,"Gombe, Gombe, Nigeria",Nigeria
Gunmen kill Adamawa monarch in Borno: Nigeria Testimony,2/23/2013,Maiduguri,Maiduguri,Borno,1,,,,Other Armed Actor,,,,,,,,,,1,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.naijahidi.org/reports/view/831,,,,,"Maiduguri, Borno, Nigeria",Nigeria
JTF Kills 2 Gunmen,2/23/2013,,,Kano,2,,State Actor,,,,,,,,,,,2,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302240329.html,,,,,", Kano, Nigeria",Nigeria
Religious Violence Kills 31 in Taraba,2/23/2013,Wukuri,,Taraba,31,,,Sectarian Actor,,,,,,,,,31,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302240247.html,http://allafrica.com/stories/201302251141.html,http://allafrica.com/stories/201302250213.html,,,", Taraba, Nigeria",Nigeria
Settlements razed after woman found murdered,2/23/2013,Tumbarangabili,Michica,Adamawa,1,,,Sectarian Actor,,,,,,,,,,,,,,,,1,,,,,Machete,,,,,,,,,,Other,,http://allafrica.com/stories/201302251334.html,http://www.thisdaylive.com/articles/settlements-razed-in-fulani-herdsmen-farmers-brawl/140380,,,,"Michica, Adamawa, Nigeria",Nigeria
Seven killed in fresh gunmen attack in northern Nigeria,2/24/2013,Beni,Maru,Zamfara,7,,,,Other Armed Actor,,,,,,,,,,,,,,,7,,,,Gun,,,,,,,,,,,Other,,http://news.xinhuanet.com/english/world/2013-02/25/c_132189266.htm,http://www.naijahidi.org/reports/view/836,,,,"Maru, Zamfara, Nigeria",Nigeria
Soldiers kill two gunmen during “stop and search” in Kano,2/24/2013,Kano,,Kano,2,,State Actor,,,,,,,,,,,2,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://premiumtimesng.com/news/121797-soldiers-kill-two-gunmen-during-stop-and-search-in-kano.html?utm_source=rss&utm_medium=rss&utm_campaign=soldiers-kill-two-gunmen-during-stop-and-search-in-kano,,,,,", Kano, Nigeria",Nigeria
"Two Die In Uzere, Delta State",2/24/2013,Uzere,Isoko South,Delta,2,,,,Other Armed Actor,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/news-page/two-die-uzere-delta-state-deposed-king-former-council-chair-lea-scribe-are-accused-sponsor,,,,,"Isoko South, Delta, Nigeria",Nigeria
4 Boko Haram Killed,2/25/2013,Maiduguri,Maiduguri,Borno,4,,State Actor,,,,,,,,4,,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.news.com.au/breaking-news/world/nigeria-claims-killed-boko-haram-commander/story-e6frfkui-1226586599266,http://www.news24.com.ng/National/News/JTF-kill-4-suspected-Boko-Haram-members-20130227,http://www.naijahidi.org/reports/view/840,,,"Maiduguri, Borno, Nigeria",Nigeria
4 Students Killed by Soldiers in Nasarawa University Protests,2/25/2013,Keffi,,Nasarawa,4,,State Actor,,,,,,,,,,,,,,,,,4,,,,Gun,,,,,,,,,,School,,,http://premiumtimesng.com/news/122257-nigerian-army-denies-killing-nasarawa-university-students.html?utm_source=rss&utm_medium=rss&utm_campaign=nigerian-army-denies-killing-nasarawa-university-students,http://www.thisdaylive.com/articles/nasarawa-killings-students-spoil-for-war-as-army-denies-complicity/140792,,,,", Nasarawa, Nigeria",Nigeria
Boko Haram Kills Senior Police Officer,2/25/2013,Sabon Gandu,,Kano,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://saharareporters.com/news-page/boko-haram-suspects-kill-senior-police-officer-brother-kano-police-spokesman-musa-majiya,http://www.naijahidi.org/reports/view/838,,,,", Kano, Nigeria",Nigeria
"Gang violence Kills 1 in Lagos, Many injured",2/25/2013,Coker,Orile Iganmu,Lagos,1,,,Sectarian Actor,,,,,,,,,1,,,,,,,,,,,Gun,Machete,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/841,,,,,"Orile Iganmu, Lagos, Nigeria",Nigeria
Gunmen kill four policemen in separate attacks on Taraba,2/25/2013,Mutum Biyu,,Taraba,2,,,,Other Armed Actor,,,,,,,2,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://premiumtimesng.com/regional/122430-gunmen-kill-four-policemen-in-separate-attacks-on-taraba-expatriate-quarters-2.html?utm_source=rss&utm_medium=rss&utm_campaign=gunmen-kill-four-policemen-in-separate-attacks-on-taraba-expatriate-quarters-2,,,,,", Taraba, Nigeria",Nigeria
7 Guards Killed,2/26/2013,,,Yobe,7,,,,Other Armed Actor,,,,,,,,,7,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://news.yahoo.com/gunmen-kill-7-guards-northeast-nigeria-official-050800961.html,http://www.iol.co.za/news/africa/gunmen-kill-seven-guards-in-nigeria-1.1477460#.US9Lwus__ek,,,,", Yobe, Nigeria",Nigeria
Boko Haram Die in Custody,2/26/2013,,,Borno,45,,State Actor,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,http://blueprintng.com/new/2013/10/16/amnesty-internationals-reportjtf-kills-1000-boko-haram-detainees/,,,,,", Borno, Nigeria",Nigeria
2 Policemen die in Failed Kidnap,2/27/2013,Telle,,Taraba,2,,,Sectarian Actor,,,,,,,,2,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naharnet.com/stories/en/73818-2-policemen-killed-as-nigeria-gunmen-fail-to-kidnap-lebanese-engineers,https://www.evernote.com/pub/aschlfod/febnst#b=39c78257-dd8b-455c-9f3c-7153b619a0e7&st=p&n=603d555b-4419-4295-9472-59012a356f99,,,,", Taraba, Nigeria",Nigeria
5 killed in Maiduguri explosion,2/28/2013,Maidiguri,Maiduguri,Borno,5,Boko Haram,,,,,,,,,,3,,,,,,,,2,,,Bomb,,,,,,,,,,,,Other,,http://premiumtimesng.com/news/122472-update-one-soldier-killed-two-civilians-wounded-in-maiduguri-explosions-jtf-says.html?utm_source=rss&utm_medium=rss&utm_campaign=update-one-soldier-killed-two-civilians-wounded-in-maiduguri-explosions-jtf-says,https://www.evernote.com/pub/aschlfod/febnst#b=39c78257-dd8b-455c-9f3c-7153b619a0e7&st=p&n=d726c424-edee-4867-9ef4-19285e09a1b6,,,,"Maiduguri, Borno, Nigeria",Nigeria
Bombings in Maiduguri Kill 6,2/28/2013,Maiduguri,Maiduguri,Borno,6,Boko Haram,,,,,,,,,,2,,,,,,,,4,,,Bomb,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201303010528.html,http://allafrica.com/stories/201303010152.html,http://allafrica.com/stories/201303010152.html,,,"Maiduguri, Borno, Nigeria",Nigeria
Kidnap Attempt Kills 2 Police,2/28/2013,,,Taraba,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this has been counted already,,,,,,", Taraba, Nigeria",Nigeria
Police Kill 3 Robbers,2/28/2013,Aliade,,Benue,3,,State Actor,,,,,,,,,,,,,,,3,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2013/01/police-kill-3-robbery-suspects-in-benue/,,,,,", Benue, Nigeria",Nigeria
Police Kill Student,3/1/2013,,Oye,Ekiti,1,,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://nationalmirroronline.net/new/igp-urged-to-probe-killing-of-ekiti-varsity-student/,,,,,"Oye, Ekiti, Nigeria",Nigeria
Police Commissioner Killed,3/2/2013,,,Enugu,1,,,,Other Armed Actor,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://premiumtimesng.com/news/122835-breaking-news-kwara-police-commissioner-asadu-reportedly-shot-dead.html?utm_source=rss&utm_medium=rss&utm_campaign=breaking-news-kwara-police-commissioner-asadu-reportedly-shot-dead,,,,,", Enugu, Nigeria",Nigeria
Boko Haram Targets Community Leader,3/3/2013,Baderi,Marte,Borno,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"link doesn't work, cant find story",http://www.guardiannewsngr.com/index.php?option=com_content&view=article&id=115191:gunmen-kill-police-chief-others-&catid=1:national&Itemid=559,,,,,"Marte, Borno, Nigeria",Nigeria
22 Boko Haram Killed,3/3/2013,Monguno,Monguno,Borno,22,,State Actor,,,,,,,,22,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.sbs.com.au/news/article/1742776/Twenty-Islamists-killed-in-Nigeria,http://blueprintng.com/2013/03/boko-haram-raids-army-barracks-kills-22/,,,,"Monguno, Borno, Nigeria",Nigeria
"Boko Haram Kills Police Commadant, Others",3/3/2013,Maiduguri,Maiduguri,Borno,2,Boko Haram,,,,,,,,,,1,,,,,,,,1,,,,Gun,,,,,,,,,,,,,http://www.guardiannewsngr.com/index.php?option=com_content&view=article&id=115191:gunmen-kill-police-chief-others-&catid=1:national&Itemid=559,,,,,"Maiduguri, Borno, Nigeria",Nigeria
BH Kills 8,3/4/2013,Gwoza,Gwoza,Borno,8,Boko Haram,,,,,,,,,,1,,,,,,,,7,,,,Gun,,,,,,Government Building,,,Bank,,,,http://news.yahoo.com/8-killed-northeast-nigeria-extremist-attack-140923889.html,,,,,"Gwoza, Borno, Nigeria",Nigeria
Police Kill Robber,3/4/2013,Abuja,,Federal Capital Territory,1,,State Actor,,,,,,,,,,,,,,,1,,,,,,Gun,,,,,,,,,,,Other,,http://premiumtimesng.com/metro/123384-abuja-police-kill-1-injures-2-in-shoot-out-with-robbers.html?utm_source=rss&utm_medium=rss&utm_campaign=abuja-police-kill-1-injures-2-in-shoot-out-with-robbers,,,,,", Federal Capital Territory, Nigeria",Nigeria
Boko Haram Die in Custody,3/5/2013,,,Borno,45,,State Actor,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,http://blueprintng.com/new/2013/10/16/amnesty-internationals-reportjtf-kills-1000-boko-haram-detainees/,,,,,", Borno, Nigeria",Nigeria
Sectarian Violence Kills 2,3/8/2013,Uvir,Guma,Benue,2,,,Sectarian Actor,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.vanguardngr.com/2013/03/2-killed-in-fresh-herdsman-attack-in-benue/,,,,,"Guma, Benue, Nigeria",Nigeria
2 Bank Robbers Killed,3/9/2013,Makurdi,,Benue,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.vanguardngr.com/2013/03/benue-police-gun-down-two-bank-robbery-suspects-in-makurdi/,http://www.guardiannewsngr.com/index.php?option=com_content&view=article&id=115895:police-kill-two-notorious-robbers-in-makurdi&catid=3:metro&Itemid=558,,,,", Benue, Nigeria",Nigeria
Nigerian Forces Kill Boko Haram,3/9/2013,,Maiduguri,Borno,30,,State Actor,,,,,,,,30,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.trust.org/alertnet/news/nigerian-forces-say-they-have-killed-52-islamists-arrested-70,http://www.naharnet.com/stories/en/74954-20-boko-haram-suspects-2-soldiers-killed-in-nigeria,,,,"Maiduguri, Borno, Nigeria",Nigeria
7 Expat Hostages Killed,3/10/2013,,,Kano,7,,,Sectarian Actor,,,,,,,,,,,,,,,,7,,,,Gun,,,,,,,,,,,Other,Ansaru responsible,http://articles.philly.com/2013-03-11/news/37626336_1_nigerian-and-british-forces-foreign-hostages-italian-hostage,,,,,", Kano, Nigeria",Nigeria
Gunmen Kill 4 in Kano,3/10/2013,Dakata Kawaji,,Kano,4,Boko Haram,,,,,,,,,,,,,,,,,,4,,,,Gun,,,,,,,,,,,Other,,http://www.punchng.com/news/gunmen-kill-four-in-kano-2/,http://saharareporters.com/news-page/boko-haram-militants-kill-four-people-kano-drive-shooting,http://www.informationng.com/2013/03/four-killed-in-drive-by-shooting-by-suspected-boko-haram-militants-in-kano.html,,,", Kano, Nigeria",Nigeria
Police Foil Bank Robbery,3/10/2013,,Ajao Estate,Lagos,7,,State Actor,,,,,,,,,,,,,,,7,,,,,,Gun,,,,,,,,,Bank,,,,http://nationalmirroronline.net/new/police-foil-bank-robbery-arrest-nine-suspects/,,,,,"Ajao Estate, Lagos, Nigeria",Nigeria
Politician Killed in Borno,3/10/2013,Umarari,Magumeri,Borno,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://guardiannewsngr.com/index.php?option=com_content&view=article&id=115940:gunmen-kill-politician-official-attack-police-station&catid=1:national&Itemid=559,,,,,"Magumeri, Borno, Nigeria",Nigeria
Ministry Official Killed in Borno,3/10/2013,Zajeri,Maiduguri,Borno,1,,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://guardiannewsngr.com/index.php?option=com_content&view=article&id=115940:gunmen-kill-politician-official-attack-police-station&catid=1:national&Itemid=559,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Two PDP chiefs Killed in Borno,3/12/2013,Maiduguri,Maiduguri,Borno,2,,,,Other Armed Actor,,,,,,,,,,2,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/860,http://saharareporters.com/news-page/boko-haram-murders-two-party-officials-who-welcomed-jonathan-borno,,,,"Maiduguri, Borno, Nigeria",Nigeria
Boko Haram Die in Custody,3/12/2013,,,Borno,45,,State Actor,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,http://blueprintng.com/new/2013/10/16/amnesty-internationals-reportjtf-kills-1000-boko-haram-detainees/,,,,,", Borno, Nigeria",Nigeria
4 Gunmen Killed,3/13/2013,,Bado,Sokoto,4,,State Actor,,,,,,,,4,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/861,http://saharareporters.com/news-page/five-dead-gunfight-between-nigerian-troops-and-islamist-militants-sokoto,http://en.starafrica.com/news/security-forces-kill-4-militants-in-northern-nigeria.html,,,"Bado, Sokoto, Nigeria",Nigeria
Bank Official Killed,3/13/2013,Akure,,Ondo,1,,,,,Kidnapper,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,Bank,,,Bank transport vehicle,http://premiumtimesng.com/regional/124630-bank-official-killed-in-bullion-van-attack-in-ondo.html?utm_source=rss&utm_medium=rss&utm_campaign=bank-official-killed-in-bullion-van-attack-in-ondo,,,,,", Ondo, Nigeria",Nigeria
Prison Police Killed,3/13/2013,Warri,Warri,Delta,7,,,,Other Armed Actor,,,,,,,7,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://saharareporters.com/news-page/panic-delta-gunmen-invade-warri-seven-prison-warders-killed,http://nationalmirroronline.net/new/death-toll-rises-in-warri-prison-officials-attack/,,,,"Warri, Delta, Nigeria",Nigeria
Robbers Kill 2 at Lagos Airport,3/13/2013,,Lagos,Lagos,2,,,,,,Robber,,,,,2,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://saharareporters.com/news-page/armed-robbers-raid-departure-lounge-lagos-international-airport-killing-least-two-policeme,,,,,"Lagos, Lagos, Nigeria",Nigeria
Gunmen Kill Justice in Kano,3/14/2013,,,Kano,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.naijahidi.org/reports/view/864,http://www.globalpost.com/dispatch/news/afp/130316/gunmen-kill-justice-official-nigerias-north,,,,", Kano, Nigeria",Nigeria
Boko Haram Leaders Killed,3/15/2013,,Wamakko,Kaduna,3,,State Actor,,,,,,,,3,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.punchng.com/news/soldiers-kill-three-top-boko-haram-commanders/,,,,,"Wamakko, Kaduna, Nigeria",Nigeria
7 Killed in Sectarian Violence,3/16/2013,Adadama,,Cross River,7,,,Sectarian Actor,,,,,,,,,7,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/866,http://nationalmirroronline.net/new/seven-killed-others-injured-as-cross-river-ebonyi-communities-clash/,,,,", Cross River, Nigeria",Nigeria
One Dies in Palace Attack,3/16/2013,,Ilaje,Ondo,1,,,Sectarian Actor,,,,,,,,,1,,,,,,,,,,,Gun,Machete,,,,,,,,,,Other,,http://www.punchng.com/news/one-dies-in-ondo-monarchs-palace-attack/,,,,,"Ilaje, Ondo, Nigeria",Nigeria
2 Chldren Killed,3/17/2013,Torok-Rim,Riyom,Plateau,2,,,,Other Armed Actor,,,,,,,,,,,,,,,2,,,,Gun,,,,,,,,,,,Other,,http://www.punchng.com/news/gunmen-kill-another-two-in-plateau/,,,,,"Riyom, Plateau, Nigeria",Nigeria
Communal Clash Kills 2,3/17/2013,Ganmo,Ifelodun,Kwara,2,,State Actor,,,,,,,,,,2,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://nationalmirroronline.net/new/again-two-people-killed-in-kwara-communal-crisis/,,,,,"Ifelodun, Kwara, Nigeria",Nigeria
Fulani Herdsmen Kill 2,3/17/2013,,Wase,Plateau,2,,,Sectarian Actor,,,,,,,,,2,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/865,,,,,"Wase, Plateau, Nigeria",Nigeria
Sectarian Violence Kills 4,3/17/2013,Tapo,Barkin Ladi,Plateau,4,,,Sectarian Actor,,,,,,,,,4,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/869,,,,,"Barkin Ladi, Plateau, Nigeria",Nigeria
